Department,Full_or_Part-Time,Gender,Annual_Salary_Bin
POLICE,F,male,<90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
AVIATION,F,male,<90K
POLICE,F,female,≥90K
FIRE,F,female,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
PUBLIC_LIBRARY,P,female,<90K
POLICE,F,male,<90K
STREETS_&_SAN,F,female,<90K
POLICE,F,female,≥90K
FAMILY_&_SUPPORT,P,female,<90K
POLICE,F,male,≥90K
PUBLIC_LIBRARY,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
OEMC,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,female,<90K
FIRE,F,male,≥90K
STREETS_&_SAN,P,male,<90K
AVIATION,F,male,<90K
POLICE,F,female,≥90K
FAMILY_&_SUPPORT,P,female,<90K
TRANSPORTN,F,male,<90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
PUBLIC_LIBRARY,F,male,<90K
FIRE,F,male,<90K
OEMC,P,female,<90K
WATER_MGMNT,F,male,≥90K
OEMC,P,male,<90K
POLICE,F,female,≥90K
STREETS_&_SAN,F,male,<90K
AVIATION,F,male,<90K
STREETS_&_SAN,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
FIRE,F,female,<90K
FIRE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
OEMC,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,<90K
WATER_MGMNT,F,female,≥90K
STREETS_&_SAN,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
OEMC,P,male,<90K
POLICE,F,male,≥90K
TRANSPORTN,F,male,≥90K
STREETS_&_SAN,F,male,<90K
TRANSPORTN,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
AVIATION,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
FIRE,F,female,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,female,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
AVIATION,F,female,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
AVIATION,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,P,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
AVIATION,P,male,<90K
POLICE,F,female,≥90K
POLICE,F,female,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,P,male,<90K
POLICE,F,male,≥90K
FIRE,F,female,<90K
PUBLIC_LIBRARY,P,female,<90K
PUBLIC_LIBRARY,P,female,<90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,<90K
FIRE,F,female,≥90K
POLICE,F,female,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
PUBLIC_LIBRARY,F,female,<90K
STREETS_&_SAN,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
TRANSPORTN,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
STREETS_&_SAN,F,female,<90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,female,<90K
WATER_MGMNT,F,male,≥90K
AVIATION,F,male,<90K
POLICE,F,female,≥90K
BUILDINGS,F,female,<90K
WATER_MGMNT,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,female,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,<90K
OEMC,P,male,<90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FAMILY_&_SUPPORT,P,female,<90K
POLICE,F,male,<90K
OEMC,F,female,<90K
FIRE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FAMILY_&_SUPPORT,P,female,<90K
POLICE,F,female,≥90K
POLICE,F,female,≥90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
STREETS_&_SAN,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
AVIATION,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
AVIATION,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,<90K
WATER_MGMNT,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
AVIATION,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
OEMC,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,P,male,<90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
DAIS,F,male,≥90K
STREETS_&_SAN,P,male,<90K
POLICE,F,female,≥90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,≥90K
WATER_MGMNT,F,female,<90K
FIRE,F,male,≥90K
TRANSPORTN,F,male,<90K
OEMC,P,female,<90K
POLICE,F,female,<90K
OEMC,F,female,≥90K
POLICE,F,female,≥90K
WATER_MGMNT,F,male,≥90K
STREETS_&_SAN,P,female,<90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,≥90K
AVIATION,F,male,≥90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
AVIATION,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
WATER_MGMNT,F,male,<90K
POLICE,F,female,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,female,<90K
AVIATION,F,male,<90K
STREETS_&_SAN,F,male,<90K
STREETS_&_SAN,F,female,<90K
TRANSPORTN,F,male,<90K
OEMC,F,female,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,≥90K
DAIS,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
PUBLIC_LIBRARY,F,male,<90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
AVIATION,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
TRANSPORTN,F,male,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
AVIATION,F,male,<90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,≥90K
FAMILY_&_SUPPORT,P,female,<90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
AVIATION,F,male,≥90K
WATER_MGMNT,F,male,≥90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
HUMAN_RESOURCES,F,female,<90K
OEMC,F,female,<90K
OEMC,F,female,<90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,≥90K
WATER_MGMNT,F,male,≥90K
WATER_MGMNT,F,male,≥90K
DAIS,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
PUBLIC_LIBRARY,F,male,<90K
PUBLIC_LIBRARY,F,female,<90K
POLICE,F,female,<90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,≥90K
DAIS,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
DAIS,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
OEMC,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
WATER_MGMNT,F,male,≥90K
BUSINESS_AFFAIRS,F,female,<90K
POLICE,F,male,<90K
TRANSPORTN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,<90K
AVIATION,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
PUBLIC_LIBRARY,F,female,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
AVIATION,F,male,<90K
POLICE,F,female,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
OEMC,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
DAIS,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
OEMC,F,male,<90K
POLICE,F,female,≥90K
FIRE,F,male,<90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
AVIATION,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
AVIATION,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
FIRE,F,female,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,F,female,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
PUBLIC_LIBRARY,P,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,F,female,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
DAIS,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
AVIATION,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
DAIS,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,female,<90K
AVIATION,F,male,<90K
OEMC,P,male,<90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
FAMILY_&_SUPPORT,P,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
DAIS,F,male,<90K
POLICE,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
TRANSPORTN,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,≥90K
WATER_MGMNT,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,female,≥90K
POLICE,F,female,≥90K
FAMILY_&_SUPPORT,P,male,<90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
TRANSPORTN,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,female,<90K
POLICE,F,female,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,F,female,<90K
POLICE,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
FIRE,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,≥90K
STREETS_&_SAN,F,male,<90K
STREETS_&_SAN,F,male,<90K
WATER_MGMNT,F,male,≥90K
WATER_MGMNT,F,male,≥90K
DAIS,F,male,≥90K
POLICE,F,male,≥90K
OEMC,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
PUBLIC_LIBRARY,F,female,<90K
AVIATION,F,male,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
OEMC,F,female,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
AVIATION,F,male,<90K
POLICE,F,female,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
AVIATION,F,male,<90K
AVIATION,F,male,<90K
FIRE,F,female,≥90K
FIRE,F,female,≥90K
STREETS_&_SAN,F,male,<90K
FIRE,F,male,<90K
WATER_MGMNT,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,F,female,<90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
OEMC,F,female,≥90K
POLICE,F,male,≥90K
FIRE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,≥90K
FIRE,F,male,≥90K
FIRE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,female,≥90K
POLICE,F,female,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
WATER_MGMNT,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
OEMC,F,female,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,female,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,<90K
PUBLIC_LIBRARY,P,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
FIRE,F,male,≥90K
STREETS_&_SAN,F,female,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
OEMC,F,male,<90K
AVIATION,F,female,<90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
FIRE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,≥90K
OEMC,F,male,<90K
STREETS_&_SAN,F,male,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,<90K
POLICE,F,male,<90K
FIRE,F,male,<90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,male,≥90K
POLICE,F,female,<90K
POLICE,F,male,<90K
POLICE,F,male,≥90K
AVIATION,F,male,<90K
